DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,BRU,2019-02-16,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,SXF,2019-05-04,€5.000000,201.770000 kg,23.030000 L,697 km
SXF,ESS,2019-05-04,€5.000000,148.560000 kg,19.470000 L,512 km
ESS,SXF,2019-06-21,€5.000000,148.560000 kg,19.470000 L,512 km
SXF,SHA,2019-06-21,€62.000000,2663.070000 kg,229.530000 L,8444 km
SHA,SSN,2019-06-22,€7.000000,265.920000 kg,27.960000 L,904 km
SSN,LIN,2019-07-05,€66.000000,2860.410000 kg,246.240000 L,8944 km
LIN,SXF,2019-09-25,€7.000000,262.280000 kg,27.670000 L,893 km
SXF,LBG,2019-09-25,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-11-20,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,SXF,2019-11-20,€5.000000,10.190000 kg,2.570000 L,50 km
