DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,BOD,2019-04-19,€6.000000,229.440000 kg,25.040000 L,789 km
BOD,LHR,2019-04-22,€6.000000,229.440000 kg,25.040000 L,789 km
LHR,HND,2019-04-22,€73.000000,3139.550000 kg,269.870000 L,9651 km
OIM,LHR,2019-05-17,€73.000000,3164.760000 kg,272.010000 L,9715 km
LHR,ZUN,2019-05-17,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,DCA,2019-05-18,€0.000000,0.000000 kg,0.000000 L,0 km
DCA,LHR,2019-06-15,€40.000000,1711.680000 kg,148.900000 L,5937 km
LHR,BRU,2019-06-15,€5.000000,103.000000 kg,16.450000 L,399 km
BRU,LHR,2019-07-17,€5.000000,103.000000 kg,16.450000 L,399 km
LHR,BCN,2019-07-17,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,LHR,2019-07-21,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,BCN,2019-07-21,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,LHR,2019-07-26,€7.000000,297.000000 kg,29.620000 L,1197 km
LHR,OPO,2019-07-26,€8.000000,333.000000 kg,32.400000 L,1347 km
OPO,LHR,2019-08-03,€8.000000,333.000000 kg,32.400000 L,1347 km
LHR,LCY,2019-08-03,€5.000000,17.680000 kg,4.470000 L,86 km
LCY,LHR,2019-08-15,€5.000000,17.680000 kg,4.470000 L,86 km
LHR,CBG,2019-08-15,€5.000000,29.010000 kg,7.340000 L,142 km
CBG,LHR,2019-09-07,€5.000000,29.010000 kg,7.340000 L,142 km
LHR,BOD,2019-09-07,€6.000000,229.440000 kg,25.040000 L,789 km
BOD,LHR,2019-10-19,€6.000000,229.440000 kg,25.040000 L,789 km
LHR,LCY,2019-10-19,€5.000000,17.680000 kg,4.470000 L,86 km
LCY,LHR,2019-11-01,€5.000000,17.680000 kg,4.470000 L,86 km
LHR,TXL,2019-11-01,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-11-23,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,LIN,2019-11-23,€7.000000,263.000000 kg,26.830000 L,1028 km
LIN,LHR,2019-12-31,€7.000000,263.000000 kg,26.830000 L,1028 km
LHR,LHR,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
