999999999,Venice,Italy,83,2019,
&ME,Berlin,Germany,64,2019,
2ManyDJs,Glasgow,United Kingdom,41,2019,
A-Trak,Montreal,Canada,12,2019,
Acid Arab,Paris,France,33,2019,
Acid Pauli,Berlin,Germany,61,2019,
Actress,London,United Kingdom,25,2019,
Ada,Cologne,Germany,3,2019,
Adam Beyer,Stockholm,Sweden,80,2019,
Adam Port,Berlin,Germany,49,2019,
Adam X,Berlin,Germany,28,2019,
Adana Twins,Hamburg,Germany,79,2019,
Adiel,Rome,Italy,81,2019,
Adriana Lopez,Barcelona,Spain,48,2019,
Afrodeutsche,Machester,United Kingdom,54,2019,
Agents Of Time,Rome,Italy,67,2019,
Agoria,Paris,France,60,2019,
Airod,Paris,France,57,2019,
Aïsha Devi,Berlin,Germany,27,2019,
AJ Tracey,London,United Kingdom,8,2019,
Alan Fitzpatrick,London,United Kingdom,77,2019,
Alienata,Berlin,Germany,49,2019,
Alinka,Berlin,Germany,31,2019,
Alison Swing,Berlin,Germany,52,2019,
Alix Perez,London,United Kingdom,34,2019,
Alva Noto,Berlin,Germany,24,2019,
Âme,Berlin,Germany,117,2019,
Amelie Lens,Brussels,Belgium,134,2019,
Amp Fiddler,Detroit,USA,21,2019,
Analog Soul,New York City,USA,35,2019,
Anastasia Kristensen,Copenhagen,Denmark,80,2019,
Ancient Methods,Berlin,Germany,55,2019,
AnD,London,United Kingdom,38,2019,
Andhim,Cologne,Germany,63,2019,
André Galluzzi,Frankfurt,Germany,32,2019,
Andrea Oliva,Zürich,Switzerland,69,2019,
Andrés,Detroit,USA,21,2019,
Andrew Weatherall,Manchester,United Kingdom,51,2019,
Andrey Pushkarev,Moscow,Russia,62,2019,
Andy C,London,United Kingdom,43,2019,
Andy Stott,Manchester,United Kingdom,15,2019,
Anetha,Paris,France,75,2019,
Anfisa Letyago,Naples,Italy,37,2019,
Anja Schneider,Berlin,Germany,74,2019,
Ann Clue,Berlin,Germany,25,2019,
ANNA,Barcelona,Spain,64,2019,
Anna Haleta,Tel Aviv,Israel,78,2019,
Anna Tur,Ibiza,Spain,31,2019,
Anna Wall,London,United Kingdom,32,2019,
Annie Mac,London,United Kingdom,19,2019,
Anri,Berlin,Germany,8,2019,
Ansome,Bristol,United Kingdom,70,2019,
Answer Code Request,Berlin,Germany,58,2019,
Antal,Amsterdam,Netherlands,64,2019,
Anthea,London,United Kingdom,47,2019,
Anthony Linell,Stockholm,Sweden,53,2019,
Anthony Naples,New York,USA,38,2019,
Anthony Parasole,New York,USA,37,2019,
Antigone,Paris,France,55,2019,
Aphex Twin,London,United Kingdom,6,2019,
Apollonia,Paris,France,68,2019,
Apparat,Berlin,Germany,36,2019,
Arapu,Bucharest,Romania,61,2019,
Arca,Barcelona,Spain,7,2019,
Archie Hamilton,London,United Kingdom,82,2019,
Ariel Zetina,Chicago,USA,36,2019,
Armand Van Helden,Boston,USA,11,2019,
Arno aka Einzelkind,Berlin,Germany,50,2019,
Art Department,Toronto,Canada,59,2019,
Artbat,Kiev,Ukraine,77,2019,
Artwork,New York City,USA,29,2019,
Ash Lauryn,Atlanta,USA,33,2019,
Ata,Offenbach,Germany,38,2019,
ATEQ,Berlin,Germany,37,2019,
Atom™,Santiago,Chile,17,2019,
Audio Werner,Berlin,Germany,28,2019,
Audiofly,Barcelona,Spain,72,2019,
Aurora Halal,New York,USA,64,2019,
Autechre,Rochdale,United Kingdom,0,2019,
Avalon Emerson,Berlin,Germany,77,2019,
Awesome Tapes From Africa,Los Angeles,USA,25,2019,
AYBEE,Berlin,Germany,6,2019,
B.Traits,London,United Kingdom,41,2019,
Baba Stiltz,Stockholm,Sweden,50,2019,
Baikal,Berlin,Germany,20,2019,
Bambounou,Paris,France,75,2019,
Barac,Bucharest,Romania,24,2019,
Barbara Boeing,Curitiba,Brazil,16,2019,
Barbie Bertisch,New York City,USA,33,2019,
Barem,Buenos Aires,Argentina,10,2019,
Barnt,Cologne,Germany,33,2019,
Bart Skils,Amsterdam,Netherlands,63,2019,
Bas Mooy,Amsterdam,Netherlands,45,2019,
Basement Jaxx,London,United Kingdom,22,2019,
Batu,Bristol,United Kingdom,72,2019,
Beatrice Dillon,London,United Kingdom,23,2019,
Bedouin,New York City,USA,84,2019,
Bella Sarris,Stockholm,Sweden,15,2019,
Ben Frost,Reykjavik,Iceland,5,2019,
Ben Rau,Berlin,Germany,49,2019,
