DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YTZ,SFO,2019-02-02,€22.000000,945.320000 kg,83.970000 L,3701 km
SFO,YTZ,2019-03-02,€22.000000,945.320000 kg,83.970000 L,3701 km
YTZ,LCY,2019-03-02,€39.000000,1656.220000 kg,144.200000 L,5783 km
LCY,LAS,2019-03-06,€62.000000,2676.940000 kg,230.700000 L,8479 km
LAS,YTZ,2019-03-16,€19.000000,825.190000 kg,73.940000 L,3193 km
YTZ,DAL,2019-03-16,€13.000000,539.110000 kg,50.060000 L,1984 km
DAL,YTZ,2019-03-25,€13.000000,539.110000 kg,50.060000 L,1984 km
YTZ,TNT,2019-03-25,€47.000000,2016.280000 kg,174.750000 L,6786 km
TNT,YTZ,2019-04-27,€47.000000,2016.280000 kg,174.750000 L,6786 km
YTZ,BOS,2019-04-27,€5.000000,216.410000 kg,24.010000 L,747 km
BOS,YTZ,2019-05-04,€5.000000,216.410000 kg,24.010000 L,747 km
YTZ,ACA,2019-05-04,€22.000000,922.370000 kg,82.050000 L,3604 km
ACA,YTZ,2019-05-19,€22.000000,922.370000 kg,82.050000 L,3604 km
LCY,IEV,2019-05-25,€14.000000,583.180000 kg,53.730000 L,2169 km
IEV,AMS,2019-05-26,€12.000000,503.110000 kg,47.140000 L,1838 km
AMS,IBZ,2019-06-01,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,MAD,2019-06-02,€5.000000,137.000000 kg,17.970000 L,507 km
MAD,OST,2019-06-14,€9.000000,380.880000 kg,37.250000 L,1343 km
OST,YTZ,2019-07-01,€40.000000,1724.730000 kg,150.010000 L,5974 km
YTZ,AMS,2019-07-06,€41.000000,1747.130000 kg,151.910000 L,6036 km
AMS,IBZ,2019-07-13,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,MRS,2019-07-19,€5.000000,197.000000 kg,23.030000 L,649 km
MRS,IBZ,2019-07-20,€5.000000,197.000000 kg,23.030000 L,649 km
IBZ,BCN,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,YTZ,2019-08-15,€44.000000,1899.600000 kg,164.850000 L,6461 km
YTZ,CND,2019-08-15,€58.000000,2483.880000 kg,214.360000 L,7990 km
CND,YTZ,2019-08-31,€58.000000,2483.880000 kg,214.360000 L,7990 km
YTZ,IBZ,2019-08-31,€45.000000,1932.980000 kg,167.680000 L,6554 km
IBZ,LCY,2019-09-06,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,AMS,2019-09-07,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,IBZ,2019-09-14,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,POS,2019-09-28,€49.000000,2087.510000 kg,180.800000 L,6984 km
POS,MAD,2019-09-29,€45.000000,1951.440000 kg,169.250000 L,6605 km
MAD,IBZ,2019-10-02,€5.000000,137.000000 kg,17.970000 L,507 km
IBZ,LIN,2019-10-12,€7.000000,303.830000 kg,31.010000 L,1031 km
LIN,AMS,2019-10-16,€6.000000,246.000000 kg,26.070000 L,880 km
AMS,YTZ,2019-11-02,€41.000000,1747.130000 kg,151.910000 L,6036 km
YTZ,SFO,2019-11-09,€22.000000,945.320000 kg,83.970000 L,3701 km
SFO,YTZ,2019-11-21,€22.000000,945.320000 kg,83.970000 L,3701 km
YTZ,BUR,2019-11-21,€21.000000,908.950000 kg,80.930000 L,3547 km
BUR,YTZ,2019-12-08,€21.000000,908.950000 kg,80.930000 L,3547 km
YTZ,YTZ,2019-12-08,€5.000000,10.190000 kg,2.570000 L,50 km
